reel1	weight1	reel2	weight2	reel3	weight3
Blank	1	Blank	30	Blank	1
Bar3	16	Bar1	1	Bar1	22
Blank	16	Blank	30	Blank	21
Diamond2	7	Diamond2	4	Diamond2	3
Blank	15	Blank	29	Blank	21
Seven1	17	Bar2	28	Bar1	22
Blank	15	Blank	1	Blank	20
Cherry	13	Cherry	2	Seven2	3
Blank	1	Blank	1	Blank	20
Bar3	16	Bar1	1	Bar2	29
Blank	15	Blank	29	Blank	1
Diamond1	10	Seven1	19	Bar3	8
Blank	15	Blank	29	Blank	1
Cherry	13	Bar3	17	Cherry	2
Blank	1	Blank	1	Blank	20
Bar2	30	Cherry	2	Seven1	12
Blank	15	Blank	1	Blank	20
Seven2	2	Bar1	1	Bar1	22
Blank	15	Blank	29	Blank	20
Bar3	16	Diamond1	11	Diamond1	10
Blank	1	Blank	29	Blank	20
Bar1	30	Seven2	4	Cherry	2
