reel1	weight1	reel2	weight2	reel3	weight3
Blank	36	Blank	24	Blank	30
Cherry	1	Bar2	59	Bar1	2
Blank	29	Blank	28	Blank	31
Bar1	58	Cherry	1	Cherry	1
Blank	29	Blank	28	Blank	31
Bar2	48	Bar1	30	Bar2	68
Blank	29	Blank	28	Blank	31
Bar3	39	Bar3	47	Bonus	1
Blank	29	Blank	28	Blank	31
High7	3	Wild	49	Bar3	54
Blank	29	Blank	28	Blank	31
Wild	44	High7	1	High7	1
Blank	29	Blank	28	Blank	31
Bar1	57	Bar2	59	Bar1	2
Blank	29	Blank	28	Blank	31
Bar2	50	Bar1	31	Wild	1
Blank	29	Blank	28	Blank	31
Bar3	40	Bar3	46	Bar2	70
Blank	29	Blank	28	Blank	31
Bar1	57	Bar2	59	Bar3	53
Blank	29	Blank	28	Blank	31
Bar2	50	Bar1	31	Bar1	2
Blank	29	Blank	28	Blank	31
Bar3	40	Cherry	1	Cherry	1
Blank	29	Blank	28	Blank	31
Cherry	1	Bar3	46	Bar2	70
Blank	29	Blank	28	Blank	31
Bar1	57	Bar1	31	Bonus	1
Blank	29	Blank	28	Blank	31
Bar2	50	Bar2	59	Bar1	2
Blank	29	Blank	28	Blank	31
Bar3	40	Bar3	46	Bar3	53
Blank	29	Blank	28	Blank	31
High7	4	High7	2	Bar2	70
Blank	29	Blank	28	Blank	31
Wild	44	Wild	48	High7	1
