reel1	weight1	reel2	weight2	reel3	weight3
Blank	1	Blank	23	Blank	1
Bar3	27	Bar1	16	Bar1	18
Blank	23	Blank	23	Blank	18
Diamond2	18	Diamond2	18	Diamond2	13
Blank	23	Blank	23	Blank	18
Seven1	33	Bar2	38	Bar1	18
Blank	23	Blank	1	Blank	18
Cherry	13	Cherry	19	Seven2	24
Blank	1	Blank	1	Blank	18
Bar3	27	Bar1	16	Bar2	25
Blank	23	Blank	23	Blank	1
Diamond1	11	Seven1	34	Bar3	39
Blank	23	Blank	23	Blank	1
Cherry	13	Bar3	40	Cherry	14
Blank	1	Blank	1	Blank	17
Bar2	33	Cherry	19	Seven1	31
Blank	23	Blank	1	Blank	17
Seven2	45	Bar1	16	Bar1	18
Blank	23	Blank	23	Blank	17
Bar3	27	Diamond1	14	Diamond1	18
Blank	1	Blank	23	Blank	17
Bar1	20	Seven2	39	Cherry	14
