reel1	weight1	reel2	weight2	reel3	weight3
Blank	1	Blank	23	Blank	1
Bar3	27	Bar1	16	Bar1	18
Blank	23	Blank	23	Blank	18
Diamond2	25	Diamond2	25	Diamond2	18
Blank	23	Blank	23	Blank	18
Seven1	47	Bar2	38	Bar1	18
Blank	23	Blank	1	Blank	18
Cherry	13	Cherry	19	Seven2	34
Blank	1	Blank	1	Blank	18
Bar3	27	Bar1	16	Bar2	25
Blank	23	Blank	23	Blank	1
Diamond1	16	Seven1	48	Bar3	39
Blank	23	Blank	23	Blank	1
Cherry	13	Bar3	40	Cherry	14
Blank	1	Blank	1	Blank	17
Bar2	33	Cherry	19	Seven1	44
Blank	23	Blank	1	Blank	17
Seven2	64	Bar1	16	Bar1	18
Blank	23	Blank	23	Blank	17
Bar3	27	Diamond1	20	Diamond1	25
Blank	1	Blank	23	Blank	17
Bar1	20	Seven2	55	Cherry	14
